t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
24.67,1,54.4385070,18.9254085,78.8,6.6,0.84,0
24.67,2,54.4385815,18.9248138,303.0,12.9,0.84,0
24.67,3,54.4387139,18.9253759,341.0,12.9,0.84,0
24.67,4,54.4386990,18.9256442,20.3,10.2,0.84,0
24.67,5,54.4384406,18.9252926,289.1,9.7,0.84,0
24.67,6,54.4383789,18.9250913,271.1,9.1,0.84,0
24.67,7,54.4383419,18.9248600,252.3,9.9,0.84,0
24.67,8,54.4385149,18.9255475,18.3,10.3,0.84,0
25.67,0,54.4386318,18.9253649,357.5,5.5,0.84,0
25.67,1,54.4385060,18.9254183,82.6,7.7,0.84,0
25.67,2,54.4385876,18.9247970,294.8,10.1,0.84,0
25.67,3,54.4387301,18.9253695,344.6,10.6,0.84,0
25.67,4,54.4387231,18.9256499,23.3,10.4,0.84,0
25.67,5,54.4384444,18.9252765,284.8,9.2,0.84,0
25.67,6,54.4383855,18.9250638,265.6,8.9,0.84,0
25.67,7,54.4383459,18.9248333,249.0,10.9,0.84,0
25.67,8,54.4385383,18.9255520,17.6,10.3,0.84,0
26.67,0,54.4386397,18.9253528,356.8,4.6,0.84,0
26.67,1,54.4385161,18.9254392,89.1,8.8,0.84,0
26.67,2,54.4385946,18.9247882,290.2,8.3,0.84,0
26.67,3,54.4387418,18.9253757,349.1,8.7,0.84,0
26.67,4,54.4387456,18.9256461,18.8,12.7,0.84,0
26.67,5,54.4384537,18.9252639,279.6,8.5,0.84,0
26.67,6,54.4383887,18.9250466,262.2,9.3,0.84,0
26.67,7,54.4383449,18.9248040,242.9,10.9,0.84,0
26.67,8,54.4385482,18.9255402,20.6,12.5,0.84,0
27.67,0,54.4386521,18.9253630,354.9,5.6,0.84,0
27.67,1,54.4385245,18.9254655,77.6,9.3,0.84,0
27.67,2,54.4386003,18.9247577,288.4,12.1,0.84,0
27.67,3,54.4387638,18.9253624,349.5,9.3,0.84,0
27.67,4,54.4387556,18.9256551,23.6,14.6,0.84,0
27.67,5,54.4384582,18.9252704,275.0,8.5,0.84,0
27.67,6,54.4383941,18.9250214,258.5,10.2,0.84,0
27.67,7,54.4383415,18.9247854,236.1,10.2,0.84,0
27.67,8,54.4385682,18.9255450,18.5,14.4,0.84,0
28.70,0,54.4386655,18.9253516,352.5,7.3,0.84,0
28.70,1,54.4385327,18.9254857,72.5,8.4,0.84,0
28.70,2,54.4386104,18.9247488,297.0,10.6,0.84,0
28.70,3,54.4387818,18.9253411,356.1,12.0,0.84,0
28.70,4,54.4387738,18.9256529,25.6,13.5,0.84,0
28.70,5,54.4384632,18.9252547,270.8,9.4,0.84,0
28.70,6,54.4383990,18.9249808,249.3,10.7,0.84,0
28.70,7,54.4383305,18.9247574,234.7,9.8,0.84,0
28.70,8,54.4385863,18.9255571,22.3,13.7,0.84,0
29.71,0,54.4386731,18.9253518,343.6,7.7,0.84,0
29.71,1,54.4385296,18.9254966,68.9,7.9,0.84,0
29.71,2,54.4386268,18.9247066,303.3,8.2,0.84,0
29.71,3,54.4388049,18.9253484,349.6,14.7,0.84,0
29.71,4,54.4387966,18.9256642,27.9,11.4,0.84,0
29.71,5,54.4384725,18.9252257,264.7,10.5,0.84,0
29.71,6,54.4384005,18.9249600,247.3,10.5,0.84,0
29.71,7,54.4383294,18.9247377,233.6,11.2,0.84,0
29.71,8,54.4386083,18.9255579,19.5,11.5,0.84,0
30.71,0,54.4386820,18.9253393,341.0,6.3,0.84,0
30.71,1,54.4385473,18.9255345,63.8,8.9,0.84,0
30.71,2,54.4386386,18.9246836,308.5,6.4,0.84,0
30.71,3,54.4388236,18.9253316,335.7,11.1,0.84,0
30.71,4,54.4388229,18.9256689,24.5,10.3,0.84,0
30.71,5,54.4384760,18.9251960,263.2,10.7,0.84,0
30.71,6,54.4383992,18.9249477,241.9,10.3,0.84,0
30.71,7,54.4383216,18.9246981,234.1,13.8,0.84,0
30.71,8,54.4386241,18.9255639,25.1,10.1,0.84,0
31.72,0,54.4386906,18.9253382,335.4,5.5,0.84,0
31.72,1,54.4385561,18.9255458,58.3,10.3,0.84,0
31.72,2,54.4386522,18.9246653,315.6,10.4,0.84,0
