t_s,cell_id,centre_lat,centre_lon,staleness_s
30.2,18,54.4443413,18.8572861,-1.0
30.2,19,54.4443413,18.8619743,-1.0
30.2,20,54.4443413,18.8666626,-1.0
30.2,21,54.4443413,18.8713508,-1.0
30.2,22,54.4443413,18.8760390,-1.0
30.2,23,54.4443413,18.8807273,-1.0
30.2,24,54.4443413,18.8854155,-1.0
30.2,25,54.4443413,18.8901037,-1.0
30.2,26,54.4443413,18.8947920,-1.0
30.2,27,54.4470363,18.8572861,-1.0
30.2,28,54.4470363,18.8619743,-1.0
30.2,29,54.4470363,18.8666626,-1.0
30.2,30,54.4470363,18.8713508,-1.0
30.2,31,54.4470363,18.8760390,-1.0
30.2,32,54.4470363,18.8807273,-1.0
30.2,33,54.4470363,18.8854155,-1.0
30.2,34,54.4470363,18.8901037,-1.0
30.2,35,54.4470363,18.8947920,-1.0
30.2,36,54.4497312,18.8572861,-1.0
30.2,37,54.4497312,18.8619743,-1.0
30.2,38,54.4497312,18.8666626,-1.0
30.2,39,54.4497312,18.8713508,-1.0
30.2,40,54.4497312,18.8760390,-1.0
30.2,41,54.4497312,18.8807273,-1.0
30.2,42,54.4497312,18.8854155,-1.0
30.2,43,54.4497312,18.8901037,-1.0
30.2,44,54.4497312,18.8947920,-1.0
30.2,45,54.4524261,18.8572861,-1.0
30.2,46,54.4524261,18.8619743,-1.0
30.2,47,54.4524261,18.8666626,-1.0
30.2,48,54.4524261,18.8713508,-1.0
30.2,49,54.4524261,18.8760390,-1.0
30.2,50,54.4524261,18.8807273,-1.0
30.2,51,54.4524261,18.8854155,-1.0
30.2,52,54.4524261,18.8901037,-1.0
30.2,53,54.4524261,18.8947920,-1.0
30.2,54,54.4551211,18.8572861,-1.0
30.2,55,54.4551211,18.8619743,-1.0
30.2,56,54.4551211,18.8666626,-1.0
30.2,57,54.4551211,18.8713508,-1.0
30.2,58,54.4551211,18.8760390,-1.0
30.2,59,54.4551211,18.8807273,-1.0
30.2,60,54.4551211,18.8854155,-1.0
30.2,61,54.4551211,18.8901037,-1.0
30.2,62,54.4551211,18.8947920,-1.0
30.2,63,54.4578160,18.8572861,-1.0
30.2,64,54.4578160,18.8619743,-1.0
30.2,65,54.4578160,18.8666626,-1.0
30.2,66,54.4578160,18.8713508,-1.0
30.2,67,54.4578160,18.8760390,-1.0
30.2,68,54.4578160,18.8807273,-1.0
30.2,69,54.4578160,18.8854155,-1.0
30.2,70,54.4578160,18.8901037,-1.0
30.2,71,54.4578160,18.8947920,-1.0
30.2,72,54.4605109,18.8572861,-1.0
30.2,73,54.4605109,18.8619743,-1.0
30.2,74,54.4605109,18.8666626,-1.0
30.2,75,54.4605109,18.8713508,-1.0
30.2,76,54.4605109,18.8760390,-1.0
30.2,77,54.4605109,18.8807273,-1.0
30.2,78,54.4605109,18.8854155,-1.0
30.2,79,54.4605109,18.8901037,-1.0
30.2,80,54.4605109,18.8947920,-1.0
30.2,81,54.4632059,18.8572861,-1.0
30.2,82,54.4632059,18.8619743,-1.0
30.2,83,54.4632059,18.8666626,-1.0
30.2,84,54.4632059,18.8713508,-1.0
30.2,85,54.4632059,18.8760390,-1.0
30.2,86,54.4632059,18.8807273,-1.0
30.2,87,54.4632059,18.8854155,-1.0
30.2,88,54.4632059,18.8901037,-1.0
30.2,89,54.4632059,18.8947920,-1.0
40.2,0,54.4389515,18.8572861,-1.0
40.2,1,54.4389515,18.8619743,-1.0
40.2,2,54.4389515,18.8666626,-1.0
40.2,3,54.4389515,18.8713508,-1.0
40.2,4,54.4389515,18.8760390,-1.0
40.2,5,54.4389515,18.8807273,-1.0
40.2,6,54.4389515,18.8854155,-1.0
40.2,7,54.4389515,18.8901037,-1.0
40.2,8,54.4389515,18.8947920,-1.0
40.2,9,54.4416464,18.8572861,-1.0
40.2,10,54.4416464,18.8619743,-1.0
40.2,11,54.4416464,18.8666626,-1.0
40.2,12,54.4416464,18.8713508,-1.0
40.2,13,54.4416464,18.8760390,-1.0
40.2,14,54.4416464,18.8807273,-1.0
40.2,15,54.4416464,18.8854155,-1.0
40.2,16,54.4416464,18.8901037,-1.0
40.2,17,54.4416464,18.8947920,-1.0
40.2,18,54.4443413,18.8572861,-1.0
40.2,19,54.4443413,18.8619743,-1.0
40.2,20,54.4443413,18.8666626,-1.0
40.2,21,54.4443413,18.8713508,-1.0
40.2,22,54.4443413,18.8760390,-1.0
40.2,23,54.4443413,18.8807273,-1.0
40.2,24,54.4443413,18.8854155,-1.0
40.2,25,54.4443413,18.8901037,-1.0
40.2,26,54.4443413,18.8947920,-1.0
40.2,27,54.4470363,18.8572861,-1.0
40.2,28,54.4470363,18.8619743,-1.0
40.2,29,54.4470363,18.8666626,-1.0
40.2,30,54.4470363,18.8713508,-1.0
40.2,31,54.4470363,18.8760390,-1.0
40.2,32,54.4470363,18.8807273,-1.0
40.2,33,54.4470363,18.8854155,-1.0
40.2,34,54.4470363,18.8901037,-1.0
40.2,35,54.4470363,18.8947920,-1.0
40.2,36,54.4497312,18.8572861,-1.0
40.2,37,54.4497312,18.8619743,-1.0
40.2,38,54.4497312,18.8666626,-1.0
40.2,39,54.4497312,18.8713508,-1.0
40.2,40,54.4497312,18.8760390,-1.0
40.2,41,54.4497312,18.8807273,-1.0
40.2,42,54.4497312,18.8854155,-1.0
40.2,43,54.4497312,18.8901037,-1.0
40.2,44,54.4497312,18.8947920,-1.0
40.2,45,54.4524261,18.8572861,-1.0
40.2,46,54.4524261,18.8619743,-1.0
40.2,47,54.4524261,18.8666626,-1.0
40.2,48,54.4524261,18.8713508,-1.0
40.2,49,54.4524261,18.8760390,-1.0
40.2,50,54.4524261,18.8807273,-1.0
40.2,51,54.4524261,18.8854155,-1.0
40.2,52,54.4524261,18.8901037,-1.0
40.2,53,54.4524261,18.8947920,-1.0
40.2,54,54.4551211,18.8572861,-1.0
40.2,55,54.4551211,18.8619743,-1.0
40.2,56,54.4551211,18.8666626,-1.0
40.2,57,54.4551211,18.8713508,-1.0
40.2,58,54.4551211,18.8760390,-1.0
40.2,59,54.4551211,18.8807273,-1.0
40.2,60,54.4551211,18.8854155,-1.0
40.2,61,54.4551211,18.8901037,-1.0
40.2,62,54.4551211,18.8947920,-1.0
40.2,63,54.4578160,18.8572861,-1.0
40.2,64,54.4578160,18.8619743,-1.0
40.2,65,54.4578160,18.8666626,-1.0
40.2,66,54.4578160,18.8713508,-1.0
40.2,67,54.4578160,18.8760390,-1.0
40.2,68,54.4578160,18.8807273,-1.0
40.2,69,54.4578160,18.8854155,-1.0
40.2,70,54.4578160,18.8901037,-1.0
40.2,71,54.4578160,18.8947920,-1.0
40.2,72,54.4605109,18.8572861,-1.0
40.2,73,54.4605109,18.8619743,-1.0
40.2,74,54.4605109,18.8666626,-1.0
40.2,75,54.4605109,18.8713508,-1.0
40.2,76,54.4605109,18.8760390,-1.0
40.2,77,54.4605109,18.8807273,-1.0
40.2,78,54.4605109,18.8854155,-1.0
40.2,79,54.4605109,18.8901037,-1.0
40.2,80,54.4605109,18.8947920,-1.0
40.2,81,54.4632059,18.8572861,-1.0
40.2,82,54.4632059,18.8619743,-1.0
40.2,83,54.4632059,18.8666626,-1.0
40.2,84,54.4632059,18.8713508,-1.0
40.2,85,54.4632059,18.8760390,-1.0
40.2,86,54.4632059,18.8807273,-1.0
40.2,87,54.4632059,18.8854155,-1.0
40.2,88,54.4632059,18.8901037,-1.0
40.2,89,54.4632059,18.8947920,-1.0
50.2,0,54.4389515,18.8572861,-1.0
50.2,1,54.4389515,18.8619743,-1.0
50.2,2,54.4389515,18.8666626,-1.0
50.2,3,54.4389515,18.8713508,-1.0
50.2,4,54.4389515,18.8760390,-1.0
50.2,5,54.4389515,18.8807273,-1.0
50.2,6,54.4389515,18.8854155,-1.0
50.2,7,54.4389515,18.8901037,-1.0
50.2,8,54.4389515,18.8947920,-1.0
50.2,9,54.4416464,18.8572861,-1.0
50.2,10,54.4416464,18.8619743,-1.0
50.2,11,54.4416464,18.8666626,-1.0
50.2,12,54.4416464,18.8713508,-1.0
50.2,13,54.4416464,18.8760390,-1.0
50.2,14,54.4416464,18.8807273,-1.0
50.2,15,54.4416464,18.8854155,-1.0
50.2,16,54.4416464,18.8901037,-1.0
50.2,17,54.4416464,18.8947920,-1.0
50.2,18,54.4443413,18.8572861,-1.0
50.2,19,54.4443413,18.8619743,-1.0
50.2,20,54.4443413,18.8666626,-1.0
50.2,21,54.4443413,18.8713508,-1.0
50.2,22,54.4443413,18.8760390,-1.0
50.2,23,54.4443413,18.8807273,-1.0
50.2,24,54.4443413,18.8854155,-1.0
50.2,25,54.4443413,18.8901037,-1.0
50.2,26,54.4443413,18.8947920,-1.0
50.2,27,54.4470363,18.8572861,-1.0
50.2,28,54.4470363,18.8619743,-1.0
50.2,29,54.4470363,18.8666626,-1.0
