timestamp,mmsi,name,ship_type,lat,lon,speed_kn,course_deg
2026-04-28T12:19:27.141536+00:00,477949300,OOCL SWEDEN,0,54.494857,18.979675,9.7,205.6
2026-04-28T12:19:37.647481+00:00,477949300,OOCL SWEDEN,0,54.494408,18.979298,9.7,205.7
2026-04-28T12:19:38.091385+00:00,261187610,FIORETTO,0,54.289143,18.921607,0.0,302.2
2026-04-28T12:19:46.526736+00:00,261185360,NERPA,0,54.310732,18.917525,0.0,360.0
2026-04-28T12:19:47.564980+00:00,477949300,OOCL SWEDEN,0,54.494048,18.978998,9.7,205.7
2026-04-28T12:19:55.538795+00:00,636023947,ASPEN,0,54.444527,18.874202,0.0,280.0
2026-04-28T12:19:57.164254+00:00,477949300,OOCL SWEDEN,0,54.493647,18.97866,9.7,205.7
2026-04-28T12:20:01.274574+00:00,373191000,FURNESS VICTORIA,0,54.453087,18.828788,0.0,257.2
2026-04-28T12:20:07.832049+00:00,477949300,OOCL SWEDEN,0,54.493245,18.978327,9.7,205.8
2026-04-28T12:20:17.857819+00:00,477949300,OOCL SWEDEN,0,54.492837,18.978003,9.6,205.8
2026-04-28T12:20:23.833387+00:00,211397660,SEALING,0,54.450895,18.892315,0.0,16.0
2026-04-28T12:20:28.231759+00:00,477949300,OOCL SWEDEN,0,54.492393,18.977627,9.6,205.9
2026-04-28T12:20:37.644984+00:00,477949300,OOCL SWEDEN,0,54.492037,18.977305,9.6,206.0
2026-04-28T12:20:47.562425+00:00,477949300,OOCL SWEDEN,0,54.491638,18.976962,9.6,206.1
2026-04-28T12:20:57.162649+00:00,477949300,OOCL SWEDEN,0,54.491238,18.97662,9.6,206.1
2026-04-28T12:21:07.829625+00:00,477949300,OOCL SWEDEN,0,54.490798,18.97625,9.6,206.2
2026-04-28T12:21:17.859203+00:00,477949300,OOCL SWEDEN,0,54.490398,18.975918,9.6,206.3
2026-04-28T12:21:24.203608+00:00,636020019,SAKIZAYA TREASURE,0,54.460823,18.843967,0.0,259.8
2026-04-28T12:21:28.229194+00:00,477949300,OOCL SWEDEN,0,54.489993,18.975592,9.6,206.3
2026-04-28T12:21:37.643502+00:00,477949300,OOCL SWEDEN,0,54.489638,18.975288,9.6,206.4
2026-04-28T12:21:47.243011+00:00,477949300,OOCL SWEDEN,0,54.489237,18.97494,9.6,206.4
2026-04-28T12:21:57.166496+00:00,477949300,OOCL SWEDEN,0,54.488833,18.974585,9.6,206.5
2026-04-28T12:22:08.206174+00:00,477949300,OOCL SWEDEN,0,54.488395,18.974197,9.5,206.5
2026-04-28T12:22:09.136255+00:00,261185430,MANAT,52,54.310838,18.917075,0.0,360.0
2026-04-28T12:22:28.233576+00:00,477949300,OOCL SWEDEN,0,54.487642,18.973548,9.5,206.6
2026-04-28T12:22:38.313316+00:00,477949300,OOCL SWEDEN,0,54.4872,18.973183,9.5,206.6
